,gameboard_stamp,pick,x_or_o,victory,timestamp
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",2,X,in progress,2023-12-11 15:59:05.683320
1,"['-', '-', 'X', '-', '-', '-', '-', '-', '-']",4,O,in progress,2023-12-11 15:59:05.683320
2,"['-', '-', 'X', '-', 'O', '-', '-', '-', '-']",3,X,in progress,2023-12-11 15:59:05.683320
3,"['-', '-', 'X', 'X', 'O', '-', '-', '-', '-']",6,O,in progress,2023-12-11 15:59:05.683320
4,"['-', '-', 'X', 'X', 'O', '-', 'O', '-', '-']",1,X,in progress,2023-12-11 15:59:05.683320
5,"['-', 'X', 'X', 'X', 'O', '-', 'O', '-', '-']",0,O,in progress,2023-12-11 15:59:05.683320
6,"['O', 'X', 'X', 'X', 'O', '-', 'O', '-', '-']",8,X,in progress,2023-12-11 15:59:05.683320
7,"['O', 'X', 'X', 'X', 'O', '-', 'O', '-', 'X']",5,O,in progress,2023-12-11 15:59:05.683320
8,"['O', 'X', 'X', 'X', 'O', 'O', 'O', '-', 'X']",7,X,in progress,2023-12-11 15:59:05.683320
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",2,X,in progress,2023-12-11 15:59:05.683320
1,"['-', '-', 'X', '-', '-', '-', '-', '-', '-']",4,O,in progress,2023-12-11 15:59:05.683320
2,"['-', '-', 'X', '-', 'O', '-', '-', '-', '-']",3,X,in progress,2023-12-11 15:59:05.683320
3,"['-', '-', 'X', 'X', 'O', '-', '-', '-', '-']",6,O,in progress,2023-12-11 15:59:05.683320
4,"['-', '-', 'X', 'X', 'O', '-', 'O', '-', '-']",1,X,in progress,2023-12-11 15:59:05.683320
5,"['-', 'X', 'X', 'X', 'O', '-', 'O', '-', '-']",0,O,in progress,2023-12-11 15:59:05.683320
6,"['O', 'X', 'X', 'X', 'O', '-', 'O', '-', '-']",8,X,in progress,2023-12-11 15:59:05.683320
7,"['O', 'X', 'X', 'X', 'O', '-', 'O', '-', 'X']",5,O,in progress,2023-12-11 15:59:05.683320
8,"['O', 'X', 'X', 'X', 'O', 'O', 'O', '-', 'X']",7,X,in progress,2023-12-11 15:59:05.683320
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.458826
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.458826
2,"['-', 'X', '-', '-', '-', '-', '-', '-', 'O']",6,X,in progress,2023-12-11 15:59:49.458826
3,"['-', 'X', '-', '-', '-', '-', 'X', '-', 'O']",5,O,in progress,2023-12-11 15:59:49.458826
4,"['-', 'X', '-', '-', '-', 'O', 'X', '-', 'O']",7,X,in progress,2023-12-11 15:59:49.458826
5,"['-', 'X', '-', '-', '-', 'O', 'X', 'X', 'O']",0,O,in progress,2023-12-11 15:59:49.458826
6,"['O', 'X', '-', '-', '-', 'O', 'X', 'X', 'O']",2,X,in progress,2023-12-11 15:59:49.458826
7,"['O', 'X', 'X', '-', '-', 'O', 'X', 'X', 'O']",3,O,in progress,2023-12-11 15:59:49.458826
8,"['O', 'X', 'X', 'O', '-', 'O', 'X', 'X', 'O']",4,X,in progress,2023-12-11 15:59:49.458826
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.458826
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.458826
2,"['-', 'X', '-', '-', '-', '-', '-', '-', 'O']",6,X,in progress,2023-12-11 15:59:49.458826
3,"['-', 'X', '-', '-', '-', '-', 'X', '-', 'O']",5,O,in progress,2023-12-11 15:59:49.458826
4,"['-', 'X', '-', '-', '-', 'O', 'X', '-', 'O']",7,X,in progress,2023-12-11 15:59:49.458826
5,"['-', 'X', '-', '-', '-', 'O', 'X', 'X', 'O']",0,O,in progress,2023-12-11 15:59:49.458826
6,"['O', 'X', '-', '-', '-', 'O', 'X', 'X', 'O']",2,X,in progress,2023-12-11 15:59:49.458826
7,"['O', 'X', 'X', '-', '-', 'O', 'X', 'X', 'O']",3,O,in progress,2023-12-11 15:59:49.458826
8,"['O', 'X', 'X', 'O', '-', 'O', 'X', 'X', 'O']",4,X,in progress,2023-12-11 15:59:49.458826
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.474356
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.474356
2,"['-', 'X', '-', '-', '-', '-', '-', '-', 'O']",3,X,in progress,2023-12-11 15:59:49.474356
3,"['-', 'X', '-', 'X', '-', '-', '-', '-', 'O']",6,O,in progress,2023-12-11 15:59:49.474356
4,"['-', 'X', '-', 'X', '-', '-', 'O', '-', 'O']",4,X,in progress,2023-12-11 15:59:49.474356
5,"['-', 'X', '-', 'X', 'X', '-', 'O', '-', 'O']",5,O,in progress,2023-12-11 15:59:49.474356
6,"['-', 'X', '-', 'X', 'X', 'O', 'O', '-', 'O']",7,X,in progress,2023-12-11 15:59:49.474356
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.474356
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.474356
2,"['-', 'X', '-', '-', '-', '-', '-', '-', 'O']",3,X,in progress,2023-12-11 15:59:49.474356
3,"['-', 'X', '-', 'X', '-', '-', '-', '-', 'O']",6,O,in progress,2023-12-11 15:59:49.474356
4,"['-', 'X', '-', 'X', '-', '-', 'O', '-', 'O']",4,X,in progress,2023-12-11 15:59:49.474356
5,"['-', 'X', '-', 'X', 'X', '-', 'O', '-', 'O']",5,O,in progress,2023-12-11 15:59:49.474356
6,"['-', 'X', '-', 'X', 'X', 'O', 'O', '-', 'O']",7,X,in progress,2023-12-11 15:59:49.474356
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.474356
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",2,O,in progress,2023-12-11 15:59:49.474356
2,"['-', 'X', 'O', '-', '-', '-', '-', '-', '-']",4,X,in progress,2023-12-11 15:59:49.474356
3,"['-', 'X', 'O', '-', 'X', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.474356
4,"['-', 'X', 'O', '-', 'X', '-', '-', '-', 'O']",3,X,in progress,2023-12-11 15:59:49.474356
5,"['-', 'X', 'O', 'X', 'X', '-', '-', '-', 'O']",5,O,in progress,2023-12-11 15:59:49.474356
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.474356
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",2,O,in progress,2023-12-11 15:59:49.474356
2,"['-', 'X', 'O', '-', '-', '-', '-', '-', '-']",4,X,in progress,2023-12-11 15:59:49.474356
3,"['-', 'X', 'O', '-', 'X', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.474356
4,"['-', 'X', 'O', '-', 'X', '-', '-', '-', 'O']",3,X,in progress,2023-12-11 15:59:49.474356
5,"['-', 'X', 'O', 'X', 'X', '-', '-', '-', 'O']",5,O,in progress,2023-12-11 15:59:49.474356
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",3,X,in progress,2023-12-11 15:59:49.474356
1,"['-', '-', '-', 'X', '-', '-', '-', '-', '-']",1,O,in progress,2023-12-11 15:59:49.474356
2,"['-', 'O', '-', 'X', '-', '-', '-', '-', '-']",5,X,in progress,2023-12-11 15:59:49.474356
3,"['-', 'O', '-', 'X', '-', 'X', '-', '-', '-']",7,O,in progress,2023-12-11 15:59:49.474356
4,"['-', 'O', '-', 'X', '-', 'X', '-', 'O', '-']",6,X,in progress,2023-12-11 15:59:49.474356
5,"['-', 'O', '-', 'X', '-', 'X', 'X', 'O', '-']",2,O,in progress,2023-12-11 15:59:49.474356
6,"['-', 'O', 'O', 'X', '-', 'X', 'X', 'O', '-']",8,X,in progress,2023-12-11 15:59:49.474356
7,"['-', 'O', 'O', 'X', '-', 'X', 'X', 'O', 'X']",0,O,in progress,2023-12-11 15:59:49.474356
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",3,X,in progress,2023-12-11 15:59:49.474356
1,"['-', '-', '-', 'X', '-', '-', '-', '-', '-']",1,O,in progress,2023-12-11 15:59:49.474356
2,"['-', 'O', '-', 'X', '-', '-', '-', '-', '-']",5,X,in progress,2023-12-11 15:59:49.474356
3,"['-', 'O', '-', 'X', '-', 'X', '-', '-', '-']",7,O,in progress,2023-12-11 15:59:49.474356
4,"['-', 'O', '-', 'X', '-', 'X', '-', 'O', '-']",6,X,in progress,2023-12-11 15:59:49.474356
5,"['-', 'O', '-', 'X', '-', 'X', 'X', 'O', '-']",2,O,in progress,2023-12-11 15:59:49.474356
6,"['-', 'O', 'O', 'X', '-', 'X', 'X', 'O', '-']",8,X,in progress,2023-12-11 15:59:49.474356
7,"['-', 'O', 'O', 'X', '-', 'X', 'X', 'O', 'X']",0,O,in progress,2023-12-11 15:59:49.474356
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.489970
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",2,O,in progress,2023-12-11 15:59:49.489970
2,"['-', 'X', 'O', '-', '-', '-', '-', '-', '-']",4,X,in progress,2023-12-11 15:59:49.489970
3,"['-', 'X', 'O', '-', 'X', '-', '-', '-', '-']",6,O,in progress,2023-12-11 15:59:49.489970
4,"['-', 'X', 'O', '-', 'X', '-', 'O', '-', '-']",3,X,in progress,2023-12-11 15:59:49.489970
5,"['-', 'X', 'O', 'X', 'X', '-', 'O', '-', '-']",0,O,in progress,2023-12-11 15:59:49.489970
6,"['O', 'X', 'O', 'X', 'X', '-', 'O', '-', '-']",7,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.489970
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",2,O,in progress,2023-12-11 15:59:49.489970
2,"['-', 'X', 'O', '-', '-', '-', '-', '-', '-']",4,X,in progress,2023-12-11 15:59:49.489970
3,"['-', 'X', 'O', '-', 'X', '-', '-', '-', '-']",6,O,in progress,2023-12-11 15:59:49.489970
4,"['-', 'X', 'O', '-', 'X', '-', 'O', '-', '-']",3,X,in progress,2023-12-11 15:59:49.489970
5,"['-', 'X', 'O', 'X', 'X', '-', 'O', '-', '-']",0,O,in progress,2023-12-11 15:59:49.489970
6,"['O', 'X', 'O', 'X', 'X', '-', 'O', '-', '-']",7,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",4,X,in progress,2023-12-11 15:59:49.489970
1,"['-', '-', '-', '-', 'X', '-', '-', '-', '-']",0,O,in progress,2023-12-11 15:59:49.489970
2,"['O', '-', '-', '-', 'X', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.489970
3,"['O', 'X', '-', '-', 'X', '-', '-', '-', '-']",7,O,in progress,2023-12-11 15:59:49.489970
4,"['O', 'X', '-', '-', 'X', '-', '-', 'O', '-']",6,X,in progress,2023-12-11 15:59:49.489970
5,"['O', 'X', '-', '-', 'X', '-', 'X', 'O', '-']",3,O,in progress,2023-12-11 15:59:49.489970
6,"['O', 'X', '-', 'O', 'X', '-', 'X', 'O', '-']",2,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",4,X,in progress,2023-12-11 15:59:49.489970
1,"['-', '-', '-', '-', 'X', '-', '-', '-', '-']",0,O,in progress,2023-12-11 15:59:49.489970
2,"['O', '-', '-', '-', 'X', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.489970
3,"['O', 'X', '-', '-', 'X', '-', '-', '-', '-']",7,O,in progress,2023-12-11 15:59:49.489970
4,"['O', 'X', '-', '-', 'X', '-', '-', 'O', '-']",6,X,in progress,2023-12-11 15:59:49.489970
5,"['O', 'X', '-', '-', 'X', '-', 'X', 'O', '-']",3,O,in progress,2023-12-11 15:59:49.489970
6,"['O', 'X', '-', 'O', 'X', '-', 'X', 'O', '-']",2,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",2,X,in progress,2023-12-11 15:59:49.489970
1,"['-', '-', 'X', '-', '-', '-', '-', '-', '-']",1,O,in progress,2023-12-11 15:59:49.489970
2,"['-', 'O', 'X', '-', '-', '-', '-', '-', '-']",7,X,in progress,2023-12-11 15:59:49.489970
3,"['-', 'O', 'X', '-', '-', '-', '-', 'X', '-']",8,O,in progress,2023-12-11 15:59:49.489970
4,"['-', 'O', 'X', '-', '-', '-', '-', 'X', 'O']",4,X,in progress,2023-12-11 15:59:49.489970
5,"['-', 'O', 'X', '-', 'X', '-', '-', 'X', 'O']",5,O,in progress,2023-12-11 15:59:49.489970
6,"['-', 'O', 'X', '-', 'X', 'O', '-', 'X', 'O']",0,X,in progress,2023-12-11 15:59:49.489970
7,"['X', 'O', 'X', '-', 'X', 'O', '-', 'X', 'O']",3,O,in progress,2023-12-11 15:59:49.489970
8,"['X', 'O', 'X', 'O', 'X', 'O', '-', 'X', 'O']",6,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",2,X,in progress,2023-12-11 15:59:49.489970
1,"['-', '-', 'X', '-', '-', '-', '-', '-', '-']",1,O,in progress,2023-12-11 15:59:49.489970
2,"['-', 'O', 'X', '-', '-', '-', '-', '-', '-']",7,X,in progress,2023-12-11 15:59:49.489970
3,"['-', 'O', 'X', '-', '-', '-', '-', 'X', '-']",8,O,in progress,2023-12-11 15:59:49.489970
4,"['-', 'O', 'X', '-', '-', '-', '-', 'X', 'O']",4,X,in progress,2023-12-11 15:59:49.489970
5,"['-', 'O', 'X', '-', 'X', '-', '-', 'X', 'O']",5,O,in progress,2023-12-11 15:59:49.489970
6,"['-', 'O', 'X', '-', 'X', 'O', '-', 'X', 'O']",0,X,in progress,2023-12-11 15:59:49.489970
7,"['X', 'O', 'X', '-', 'X', 'O', '-', 'X', 'O']",3,O,in progress,2023-12-11 15:59:49.489970
8,"['X', 'O', 'X', 'O', 'X', 'O', '-', 'X', 'O']",6,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",7,X,in progress,2023-12-11 15:59:49.489970
1,"['-', '-', '-', '-', '-', '-', '-', 'X', '-']",2,O,in progress,2023-12-11 15:59:49.489970
2,"['-', '-', 'O', '-', '-', '-', '-', 'X', '-']",6,X,in progress,2023-12-11 15:59:49.489970
3,"['-', '-', 'O', '-', '-', '-', 'X', 'X', '-']",5,O,in progress,2023-12-11 15:59:49.489970
4,"['-', '-', 'O', '-', '-', 'O', 'X', 'X', '-']",8,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",7,X,in progress,2023-12-11 15:59:49.489970
1,"['-', '-', '-', '-', '-', '-', '-', 'X', '-']",2,O,in progress,2023-12-11 15:59:49.489970
2,"['-', '-', 'O', '-', '-', '-', '-', 'X', '-']",6,X,in progress,2023-12-11 15:59:49.489970
3,"['-', '-', 'O', '-', '-', '-', 'X', 'X', '-']",5,O,in progress,2023-12-11 15:59:49.489970
4,"['-', '-', 'O', '-', '-', 'O', 'X', 'X', '-']",8,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.489970
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.489970
2,"['-', 'X', '-', '-', '-', '-', '-', '-', 'O']",5,X,in progress,2023-12-11 15:59:49.489970
3,"['-', 'X', '-', '-', '-', 'X', '-', '-', 'O']",7,O,in progress,2023-12-11 15:59:49.489970
4,"['-', 'X', '-', '-', '-', 'X', '-', 'O', 'O']",4,X,in progress,2023-12-11 15:59:49.489970
5,"['-', 'X', '-', '-', 'X', 'X', '-', 'O', 'O']",2,O,in progress,2023-12-11 15:59:49.489970
6,"['-', 'X', 'O', '-', 'X', 'X', '-', 'O', 'O']",6,X,in progress,2023-12-11 15:59:49.489970
7,"['-', 'X', 'O', '-', 'X', 'X', 'X', 'O', 'O']",3,O,in progress,2023-12-11 15:59:49.489970
8,"['-', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'O']",0,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.489970
1,"['-', 'X', '-', '-', '-', '-', '-', '-', '-']",8,O,in progress,2023-12-11 15:59:49.489970
2,"['-', 'X', '-', '-', '-', '-', '-', '-', 'O']",5,X,in progress,2023-12-11 15:59:49.489970
3,"['-', 'X', '-', '-', '-', 'X', '-', '-', 'O']",7,O,in progress,2023-12-11 15:59:49.489970
4,"['-', 'X', '-', '-', '-', 'X', '-', 'O', 'O']",4,X,in progress,2023-12-11 15:59:49.489970
5,"['-', 'X', '-', '-', 'X', 'X', '-', 'O', 'O']",2,O,in progress,2023-12-11 15:59:49.489970
6,"['-', 'X', 'O', '-', 'X', 'X', '-', 'O', 'O']",6,X,in progress,2023-12-11 15:59:49.489970
7,"['-', 'X', 'O', '-', 'X', 'X', 'X', 'O', 'O']",3,O,in progress,2023-12-11 15:59:49.489970
8,"['-', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'O']",0,X,in progress,2023-12-11 15:59:49.489970
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",0,X,in progress,2023-12-11 15:59:49.505595
1,"['X', '-', '-', '-', '-', '-', '-', '-', '-']",2,O,in progress,2023-12-11 15:59:49.505595
2,"['X', '-', 'O', '-', '-', '-', '-', '-', '-']",1,X,in progress,2023-12-11 15:59:49.505595
3,"['X', 'X', 'O', '-', '-', '-', '-', '-', '-']",7,O,in progress,2023-12-11 15:59:49.505595
4,"['X', 'X', 'O', '-', '-', '-', '-', 'O', '-']",6,X,in progress,2023-12-11 15:59:49.505595
5,"['X', 'X', 'O', '-', '-', '-', 'X', 'O', '-']",5,O,in progress,2023-12-11 15:59:49.505595
6,"['X', 'X', 'O', '-', '-', 'O', 'X', 'O', '-']",4,X,in progress,2023-12-11 15:59:49.505595
7,"['X', 'X', 'O', '-', 'X', 'O', 'X', 'O', '-']",3,O,in progress,2023-12-11 15:59:49.505595
8,"['X', 'X', 'O', 'O', 'X', 'O', 'X', 'O', '-']",8,X,in progress,2023-12-11 15:59:49.505595
0,"['-', '-', '-', '-', '-', '-', '-', '-', '-']",0,X,in progress,2023-12-11 15:59:49.505595
